Approval,Date,Value,Variable,date
Don't know,13/06/2014,0.17,All Adults,13/06/2014
Approve,14/06/2014,0.22,All Adults,14/06/2014
Disapprove,15/06/2014,0.6,All Adults,15/06/2014
Don't know,16/06/2014,0.18,All Adults,16/06/2014
Approve,17/06/2014,0.24,All Adults,17/06/2014
Disapprove,18/06/2014,0.57,All Adults,18/06/2014
Don't know,19/06/2014,0.19,All Adults,19/06/2014
Approve,20/06/2014,0.24,All Adults,20/06/2014
Disapprove,21/06/2014,0.56,All Adults,21/06/2014
Don't know,22/06/2014,0.2,All Adults,22/06/2014
Approve,23/06/2014,0.23,All Adults,23/06/2014
Disapprove,24/06/2014,0.56,All Adults,24/06/2014
Don't know,25/06/2014,0.2,All Adults,25/06/2014
Approve,26/06/2014,0.2,All Adults,26/06/2014
Disapprove,27/06/2014,0.63,All Adults,27/06/2014
Don't know,28/06/2014,0.17,All Adults,28/06/2014
Approve,29/06/2014,0.23,All Adults,29/06/2014
Disapprove,30/06/2014,0.59,All Adults,30/06/2014
Don't know,01/07/2014,0.17,All Adults,01/07/2014
Approve,02/07/2014,0.23,All Adults,02/07/2014
Disapprove,03/07/2014,0.6,All Adults,03/07/2014
Don't know,04/07/2014,0.17,All Adults,04/07/2014
Approve,05/07/2014,0.18,All Adults,05/07/2014
Disapprove,06/07/2014,0.63,All Adults,06/07/2014
Don't know,07/07/2014,0.18,All Adults,07/07/2014
Approve,08/07/2014,0.21,All Adults,08/07/2014
Disapprove,09/07/2014,0.6,All Adults,09/07/2014
Don't know,10/07/2014,0.19,All Adults,10/07/2014
Approve,11/07/2014,0.21,All Adults,11/07/2014
Disapprove,12/07/2014,0.6,All Adults,12/07/2014
Don't know,13/07/2014,0.19,All Adults,13/07/2014
Approve,14/07/2014,0.25,All Adults,14/07/2014
Disapprove,15/07/2014,0.55,All Adults,15/07/2014
Don't know,16/07/2014,0.2,All Adults,16/07/2014
Approve,17/07/2014,0.24,All Adults,17/07/2014
Disapprove,18/07/2014,0.55,All Adults,18/07/2014
Don't know,19/07/2014,0.21,All Adults,19/07/2014
Approve,20/07/2014,0.23,All Adults,20/07/2014
Disapprove,21/07/2014,0.55,All Adults,21/07/2014
Don't know,22/07/2014,0.22,All Adults,22/07/2014
Approve,23/07/2014,0.25,All Adults,23/07/2014
Disapprove,24/07/2014,0.53,All Adults,24/07/2014
Don't know,25/07/2014,0.22,All Adults,25/07/2014
Approve,26/07/2014,0.25,All Adults,26/07/2014
Disapprove,27/07/2014,0.53,All Adults,27/07/2014
Don't know,28/07/2014,0.22,All Adults,28/07/2014
Approve,29/07/2014,0.21,All Adults,29/07/2014
Disapprove,30/07/2014,0.59,All Adults,30/07/2014
Don't know,31/07/2014,0.2,All Adults,31/07/2014
Approve,01/08/2014,0.23,All Adults,01/08/2014
Disapprove,02/08/2014,0.57,All Adults,02/08/2014
Don't know,03/08/2014,0.2,All Adults,03/08/2014
Approve,04/08/2014,0.22,All Adults,04/08/2014
Disapprove,05/08/2014,0.6,All Adults,05/08/2014
Don't know,06/08/2014,0.18,All Adults,06/08/2014
Approve,07/08/2014,0.23,All Adults,07/08/2014
Disapprove,08/08/2014,0.59,All Adults,08/08/2014
Don't know,09/08/2014,0.18,All Adults,09/08/2014
Approve,10/08/2014,0.21,All Adults,10/08/2014
Disapprove,11/08/2014,0.62,All Adults,11/08/2014
Don't know,12/08/2014,0.17,All Adults,12/08/2014
Approve,13/08/2014,0.22,All Adults,13/08/2014
Disapprove,14/08/2014,0.61,All Adults,14/08/2014
Don't know,15/08/2014,0.17,All Adults,15/08/2014
Approve,16/08/2014,0.21,All Adults,16/08/2014
Disapprove,17/08/2014,0.61,All Adults,17/08/2014
Don't know,18/08/2014,0.18,All Adults,18/08/2014
Approve,19/08/2014,0.22,All Adults,19/08/2014
Disapprove,20/08/2014,0.58,All Adults,20/08/2014
Don't know,21/08/2014,0.2,All Adults,21/08/2014
Approve,22/08/2014,0.22,All Adults,22/08/2014
Disapprove,23/08/2014,0.6,All Adults,23/08/2014
Don't know,24/08/2014,0.18,All Adults,24/08/2014
Approve,25/08/2014,0.21,All Adults,25/08/2014
Disapprove,26/08/2014,0.6,All Adults,26/08/2014
Don't know,27/08/2014,0.19,All Adults,27/08/2014
Approve,28/08/2014,0.22,All Adults,28/08/2014
Disapprove,29/08/2014,0.6,All Adults,29/08/2014
Don't know,30/08/2014,0.18,All Adults,30/08/2014
Approve,31/08/2014,0.21,All Adults,31/08/2014
Disapprove,01/09/2014,0.59,All Adults,01/09/2014
Don't know,02/09/2014,0.2,All Adults,02/09/2014
Approve,03/09/2014,0.22,All Adults,03/09/2014
Disapprove,04/09/2014,0.6,All Adults,04/09/2014
Don't know,05/09/2014,0.18,All Adults,05/09/2014
Approve,06/09/2014,0.19,All Adults,06/09/2014
Disapprove,07/09/2014,0.62,All Adults,07/09/2014
Don't know,08/09/2014,0.18,All Adults,08/09/2014
Approve,09/09/2014,0.2,All Adults,09/09/2014
Disapprove,10/09/2014,0.64,All Adults,10/09/2014
Don't know,11/09/2014,0.16,All Adults,11/09/2014
Approve,12/09/2014,0.2,All Adults,12/09/2014
Disapprove,13/09/2014,0.62,All Adults,13/09/2014
Don't know,14/09/2014,0.18,All Adults,14/09/2014
Approve,15/09/2014,0.21,All Adults,15/09/2014
Disapprove,16/09/2014,0.61,All Adults,16/09/2014
Don't know,17/09/2014,0.18,All Adults,17/09/2014
Approve,18/09/2014,0.21,All Adults,18/09/2014
Disapprove,19/09/2014,0.6,All Adults,19/09/2014
Don't know,20/09/2014,0.19,All Adults,20/09/2014
Approve,21/09/2014,0.18,All Adults,21/09/2014
Disapprove,22/09/2014,0.62,All Adults,22/09/2014
Don't know,23/09/2014,0.2,All Adults,23/09/2014
Approve,24/09/2014,0.18,All Adults,24/09/2014
Disapprove,25/09/2014,0.64,All Adults,25/09/2014
Don't know,26/09/2014,0.17,All Adults,26/09/2014
Approve,27/09/2014,0.18,All Adults,27/09/2014
Disapprove,28/09/2014,0.65,All Adults,28/09/2014
Don't know,29/09/2014,0.18,All Adults,29/09/2014
Approve,30/09/2014,0.17,All Adults,30/09/2014
Disapprove,01/10/2014,0.65,All Adults,01/10/2014
Don't know,02/10/2014,0.18,All Adults,02/10/2014
Approve,03/10/2014,0.18,All Adults,03/10/2014
Disapprove,04/10/2014,0.64,All Adults,04/10/2014
Don't know,05/10/2014,0.18,All Adults,05/10/2014
Approve,06/10/2014,0.21,All Adults,06/10/2014
Disapprove,07/10/2014,0.58,All Adults,07/10/2014
Don't know,08/10/2014,0.2,All Adults,08/10/2014
Approve,09/10/2014,0.17,All Adults,09/10/2014
Disapprove,10/10/2014,0.62,All Adults,10/10/2014
Don't know,11/10/2014,0.21,All Adults,11/10/2014
Approve,12/10/2014,0.11,All Adults,12/10/2014
Disapprove,13/10/2014,0.72,All Adults,13/10/2014
Don't know,14/10/2014,0.17,All Adults,14/10/2014
Approve,15/10/2014,0.13,All Adults,15/10/2014
Disapprove,16/10/2014,0.7,All Adults,16/10/2014
Don't know,17/10/2014,0.17,All Adults,17/10/2014
Approve,18/10/2014,0.07,All Adults,18/10/2014
Disapprove,19/10/2014,0.77,All Adults,19/10/2014
Don't know,20/10/2014,0.16,All Adults,20/10/2014
Approve,21/10/2014,0.06,All Adults,21/10/2014
Disapprove,22/10/2014,0.82,All Adults,22/10/2014
Don't know,23/10/2014,0.12,All Adults,23/10/2014
Approve,24/10/2014,0.11,All Adults,24/10/2014
Disapprove,25/10/2014,0.72,All Adults,25/10/2014
Don't know,26/10/2014,0.17,All Adults,26/10/2014
Approve,27/10/2014,0.12,All Adults,27/10/2014
Disapprove,28/10/2014,0.7,All Adults,28/10/2014
Don't know,29/10/2014,0.18,All Adults,29/10/2014
Approve,30/10/2014,0.11,All Adults,30/10/2014
Disapprove,31/10/2014,0.69,All Adults,31/10/2014
Don't know,01/11/2014,0.2,All Adults,01/11/2014
Approve,02/11/2014,0.13,All Adults,02/11/2014
Disapprove,03/11/2014,0.7,All Adults,03/11/2014
Don't know,04/11/2014,0.17,All Adults,04/11/2014
Approve,05/11/2014,0.13,All Adults,05/11/2014
Disapprove,06/11/2014,0.67,All Adults,06/11/2014
Don't know,07/11/2014,0.2,All Adults,07/11/2014
Approve,08/11/2014,0.11,All Adults,08/11/2014
Disapprove,09/11/2014,0.68,All Adults,09/11/2014
Don't know,10/11/2014,0.2,All Adults,10/11/2014
Approve,11/11/2014,0.15,All Adults,11/11/2014
Disapprove,12/11/2014,0.64,All Adults,12/11/2014
Don't know,13/11/2014,0.21,All Adults,13/11/2014
Approve,14/11/2014,0.13,All Adults,14/11/2014
Disapprove,15/11/2014,0.69,All Adults,15/11/2014
Don't know,16/11/2014,0.19,All Adults,16/11/2014
Approve,17/11/2014,0.16,All Adults,17/11/2014
Disapprove,18/11/2014,0.64,All Adults,18/11/2014
Don't know,19/11/2014,0.2,All Adults,19/11/2014
Approve,20/11/2014,0.13,All Adults,20/11/2014
Disapprove,21/11/2014,0.65,All Adults,21/11/2014
Don't know,22/11/2014,0.22,All Adults,22/11/2014
Approve,23/11/2014,0.13,All Adults,23/11/2014
Disapprove,24/11/2014,0.68,All Adults,24/11/2014
Don't know,25/11/2014,0.18,All Adults,25/11/2014
Approve,26/11/2014,0.13,All Adults,26/11/2014
Disapprove,27/11/2014,0.65,All Adults,27/11/2014
Don't know,28/11/2014,0.22,All Adults,28/11/2014
Approve,29/11/2014,0.14,All Adults,29/11/2014
Disapprove,30/11/2014,0.65,All Adults,30/11/2014
Don't know,01/12/2014,0.21,All Adults,01/12/2014
Approve,02/12/2014,0.12,All Adults,02/12/2014
Disapprove,03/12/2014,0.7,All Adults,03/12/2014
Don't know,04/12/2014,0.18,All Adults,04/12/2014
Approve,05/12/2014,0.13,All Adults,05/12/2014
Disapprove,06/12/2014,0.68,All Adults,06/12/2014
Don't know,07/12/2014,0.18,All Adults,07/12/2014
Approve,08/12/2014,0.12,All Adults,08/12/2014
Disapprove,09/12/2014,0.7,All Adults,09/12/2014
Don't know,10/12/2014,0.18,All Adults,10/12/2014
Approve,11/12/2014,0.14,All Adults,11/12/2014
Disapprove,12/12/2014,0.66,All Adults,12/12/2014
Don't know,13/12/2014,0.2,All Adults,13/12/2014
Approve,14/12/2014,0.15,All Adults,14/12/2014
Disapprove,15/12/2014,0.66,All Adults,15/12/2014
Don't know,16/12/2014,0.2,All Adults,16/12/2014
Approve,17/12/2014,0.15,All Adults,17/12/2014
Disapprove,18/12/2014,0.65,All Adults,18/12/2014
Don't know,19/12/2014,0.2,All Adults,19/12/2014
Approve,20/12/2014,0.17,All Adults,20/12/2014
Disapprove,21/12/2014,0.64,All Adults,21/12/2014
Don't know,22/12/2014,0.18,All Adults,22/12/2014
Approve,23/12/2014,0.15,All Adults,23/12/2014
Disapprove,24/12/2014,0.65,All Adults,24/12/2014
Don't know,25/12/2014,0.2,All Adults,25/12/2014
Approve,26/12/2014,0.16,All Adults,26/12/2014
Disapprove,27/12/2014,0.63,All Adults,27/12/2014
Don't know,28/12/2014,0.2,All Adults,28/12/2014
Approve,29/12/2014,0.17,All Adults,29/12/2014
Disapprove,30/12/2014,0.63,All Adults,30/12/2014
Don't know,31/12/2014,0.2,All Adults,31/12/2014
Approve,01/01/2015,0.17,All Adults,01/01/2015
Disapprove,02/01/2015,0.62,All Adults,02/01/2015
Don't know,03/01/2015,0.21,All Adults,03/01/2015
Approve,04/01/2015,0.17,All Adults,04/01/2015
Disapprove,05/01/2015,0.64,All Adults,05/01/2015
Don't know,06/01/2015,0.19,All Adults,06/01/2015
Approve,07/01/2015,0.17,All Adults,07/01/2015
Disapprove,08/01/2015,0.62,All Adults,08/01/2015
Don't know,09/01/2015,0.21,All Adults,09/01/2015
Approve,10/01/2015,0.2,All Adults,10/01/2015
Disapprove,11/01/2015,0.62,All Adults,11/01/2015
Don't know,12/01/2015,0.19,All Adults,12/01/2015
Approve,13/01/2015,0.17,All Adults,13/01/2015
Disapprove,14/01/2015,0.63,All Adults,14/01/2015
Don't know,15/01/2015,0.2,All Adults,15/01/2015
Approve,16/01/2015,0.18,All Adults,16/01/2015
Disapprove,17/01/2015,0.6,All Adults,17/01/2015
Don't know,18/01/2015,0.22,All Adults,18/01/2015
Approve,19/01/2015,0.15,All Adults,19/01/2015
Disapprove,20/01/2015,0.65,All Adults,20/01/2015
Don't know,21/01/2015,0.19,All Adults,21/01/2015
Approve,22/01/2015,0.19,All Adults,22/01/2015
Disapprove,23/01/2015,0.59,All Adults,23/01/2015
Don't know,24/01/2015,0.22,All Adults,24/01/2015
Approve,25/01/2015,0.18,All Adults,25/01/2015
Disapprove,26/01/2015,0.64,All Adults,26/01/2015
Don't know,27/01/2015,0.18,All Adults,27/01/2015
Approve,28/01/2015,0.15,All Adults,28/01/2015
Disapprove,29/01/2015,0.65,All Adults,29/01/2015
Don't know,30/01/2015,0.2,All Adults,30/01/2015
Approve,31/01/2015,0.14,All Adults,31/01/2015
Disapprove,01/02/2015,0.66,All Adults,01/02/2015
Don't know,02/02/2015,0.2,All Adults,02/02/2015
Approve,03/02/2015,0.13,All Adults,03/02/2015
Disapprove,04/02/2015,0.67,All Adults,04/02/2015
Don't know,05/02/2015,0.2,All Adults,05/02/2015
Approve,06/02/2015,0.13,All Adults,06/02/2015
Disapprove,07/02/2015,0.67,All Adults,07/02/2015
Don't know,08/02/2015,0.2,All Adults,08/02/2015
Approve,09/02/2015,0.13,All Adults,09/02/2015
Disapprove,10/02/2015,0.69,All Adults,10/02/2015
Don't know,11/02/2015,0.18,All Adults,11/02/2015
Approve,12/02/2015,0.14,All Adults,12/02/2015
Disapprove,13/02/2015,0.68,All Adults,13/02/2015
Don't know,14/02/2015,0.18,All Adults,14/02/2015
Approve,15/02/2015,0.14,All Adults,15/02/2015
Disapprove,16/02/2015,0.66,All Adults,16/02/2015
Don't know,17/02/2015,0.2,All Adults,17/02/2015
Approve,18/02/2015,0.14,All Adults,18/02/2015
Disapprove,19/02/2015,0.68,All Adults,19/02/2015
Don't know,20/02/2015,0.18,All Adults,20/02/2015
Approve,21/02/2015,0.15,All Adults,21/02/2015
Disapprove,22/02/2015,0.66,All Adults,22/02/2015
Don't know,23/02/2015,0.19,All Adults,23/02/2015
Approve,24/02/2015,0.13,All Adults,24/02/2015
Disapprove,25/02/2015,0.66,All Adults,25/02/2015
Don't know,26/02/2015,0.21,All Adults,26/02/2015
Approve,27/02/2015,0.14,All Adults,27/02/2015
Disapprove,28/02/2015,0.66,All Adults,28/02/2015
Don't know,01/03/2015,0.19,All Adults,01/03/2015
Approve,02/03/2015,0.13,All Adults,02/03/2015
Disapprove,03/03/2015,0.69,All Adults,03/03/2015
Don't know,04/03/2015,0.18,All Adults,04/03/2015
Approve,05/03/2015,0.13,All Adults,05/03/2015
Disapprove,06/03/2015,0.7,All Adults,06/03/2015
Don't know,07/03/2015,0.17,All Adults,07/03/2015
Approve,08/03/2015,0.13,All Adults,08/03/2015
Disapprove,09/03/2015,0.69,All Adults,09/03/2015
Don't know,10/03/2015,0.18,All Adults,10/03/2015
Approve,11/03/2015,0.17,All Adults,11/03/2015
Disapprove,12/03/2015,0.64,All Adults,12/03/2015
Don't know,13/03/2015,0.19,All Adults,13/03/2015
Approve,14/03/2015,0.13,All Adults,14/03/2015
Disapprove,15/03/2015,0.67,All Adults,15/03/2015
Don't know,16/03/2015,0.2,All Adults,16/03/2015
Approve,17/03/2015,0.12,All Adults,17/03/2015
Disapprove,18/03/2015,0.69,All Adults,18/03/2015
Don't know,19/03/2015,0.18,All Adults,19/03/2015
Approve,20/03/2015,0.16,All Adults,20/03/2015
Disapprove,21/03/2015,0.65,All Adults,21/03/2015
Don't know,22/03/2015,0.2,All Adults,22/03/2015
Approve,23/03/2015,0.14,All Adults,23/03/2015
Disapprove,24/03/2015,0.67,All Adults,24/03/2015
Don't know,25/03/2015,0.18,All Adults,25/03/2015
Approve,26/03/2015,0.15,All Adults,26/03/2015
Disapprove,27/03/2015,0.67,All Adults,27/03/2015
Don't know,28/03/2015,0.18,All Adults,28/03/2015
Approve,29/03/2015,0.14,All Adults,29/03/2015
Disapprove,30/03/2015,0.66,All Adults,30/03/2015
Don't know,31/03/2015,0.19,All Adults,31/03/2015
Approve,01/04/2015,0.14,All Adults,01/04/2015
Disapprove,02/04/2015,0.66,All Adults,02/04/2015
Don't know,03/04/2015,0.21,All Adults,03/04/2015
Approve,04/04/2015,0.13,All Adults,04/04/2015
Disapprove,05/04/2015,0.7,All Adults,05/04/2015
Don't know,06/04/2015,0.17,All Adults,06/04/2015
Approve,07/04/2015,0.14,All Adults,07/04/2015
Disapprove,08/04/2015,0.68,All Adults,08/04/2015
Don't know,09/04/2015,0.17,All Adults,09/04/2015
Approve,10/04/2015,0.14,All Adults,10/04/2015
Disapprove,11/04/2015,0.66,All Adults,11/04/2015
Don't know,12/04/2015,0.19,All Adults,12/04/2015
Approve,13/04/2015,0.12,All Adults,13/04/2015
Disapprove,14/04/2015,0.7,All Adults,14/04/2015
Don't know,15/04/2015,0.18,All Adults,15/04/2015
Approve,16/04/2015,0.14,All Adults,16/04/2015
Disapprove,17/04/2015,0.67,All Adults,17/04/2015
Don't know,18/04/2015,0.18,All Adults,18/04/2015
Approve,19/04/2015,0.14,All Adults,19/04/2015
Disapprove,20/04/2015,0.66,All Adults,20/04/2015
Don't know,21/04/2015,0.2,All Adults,21/04/2015
Approve,22/04/2015,0.15,All Adults,22/04/2015
Disapprove,23/04/2015,0.65,All Adults,23/04/2015
Don't know,24/04/2015,0.19,All Adults,24/04/2015
Approve,25/04/2015,0.15,All Adults,25/04/2015
Disapprove,26/04/2015,0.66,All Adults,26/04/2015
Don't know,27/04/2015,0.19,All Adults,27/04/2015
Approve,28/04/2015,0.14,All Adults,28/04/2015
Disapprove,29/04/2015,0.66,All Adults,29/04/2015
Don't know,30/04/2015,0.19,All Adults,30/04/2015
Approve,01/05/2015,0.14,All Adults,01/05/2015
Disapprove,02/05/2015,0.66,All Adults,02/05/2015
Don't know,03/05/2015,0.2,All Adults,03/05/2015
Approve,04/05/2015,0.15,All Adults,04/05/2015
Disapprove,05/05/2015,0.65,All Adults,05/05/2015
Don't know,06/05/2015,0.2,All Adults,06/05/2015
Approve,07/05/2015,0.16,All Adults,07/05/2015
Disapprove,08/05/2015,0.64,All Adults,08/05/2015
Don't know,09/05/2015,0.2,All Adults,09/05/2015
Approve,10/05/2015,0.17,All Adults,10/05/2015
Disapprove,11/05/2015,0.64,All Adults,11/05/2015
Don't know,12/05/2015,0.19,All Adults,12/05/2015
Approve,13/05/2015,0.14,All Adults,13/05/2015
Disapprove,14/05/2015,0.68,All Adults,14/05/2015
Don't know,15/05/2015,0.18,All Adults,15/05/2015
Approve,16/05/2015,0.16,All Adults,16/05/2015
Disapprove,17/05/2015,0.65,All Adults,17/05/2015
Don't know,18/05/2015,0.19,All Adults,18/05/2015
Approve,19/05/2015,0.16,All Adults,19/05/2015
Disapprove,20/05/2015,0.67,All Adults,20/05/2015
Don't know,21/05/2015,0.17,All Adults,21/05/2015
Approve,22/05/2015,0.14,All Adults,22/05/2015
Disapprove,23/05/2015,0.7,All Adults,23/05/2015
Don't know,24/05/2015,0.17,All Adults,24/05/2015
Approve,25/05/2015,0.13,All Adults,25/05/2015
Disapprove,26/05/2015,0.7,All Adults,26/05/2015
Don't know,27/05/2015,0.17,All Adults,27/05/2015
Approve,28/05/2015,0.13,All Adults,28/05/2015
Disapprove,29/05/2015,0.68,All Adults,29/05/2015
Don't know,30/05/2015,0.18,All Adults,30/05/2015
Approve,31/05/2015,0.13,All Adults,31/05/2015
Disapprove,01/06/2015,0.69,All Adults,01/06/2015
Don't know,02/06/2015,0.18,All Adults,02/06/2015
Approve,03/06/2015,0.13,All Adults,03/06/2015
Disapprove,04/06/2015,0.69,All Adults,04/06/2015
Don't know,05/06/2015,0.18,All Adults,05/06/2015
Approve,06/06/2015,0.15,All Adults,06/06/2015
Disapprove,07/06/2015,0.68,All Adults,07/06/2015
Don't know,08/06/2015,0.18,All Adults,08/06/2015
Approve,09/06/2015,0.13,All Adults,09/06/2015
Disapprove,10/06/2015,0.66,All Adults,10/06/2015
Don't know,11/06/2015,0.2,All Adults,11/06/2015
Approve,12/06/2015,0.17,All Adults,12/06/2015
Disapprove,13/06/2015,0.65,All Adults,13/06/2015
Don't know,14/06/2015,0.18,All Adults,14/06/2015
Approve,15/06/2015,0.14,All Adults,15/06/2015
Disapprove,16/06/2015,0.7,All Adults,16/06/2015
Don't know,17/06/2015,0.16,All Adults,17/06/2015
Approve,18/06/2015,0.15,All Adults,18/06/2015
Disapprove,19/06/2015,0.69,All Adults,19/06/2015
Don't know,20/06/2015,0.17,All Adults,20/06/2015
Approve,21/06/2015,0.15,All Adults,21/06/2015
Disapprove,22/06/2015,0.68,All Adults,22/06/2015
Don't know,23/06/2015,0.17,All Adults,23/06/2015
Approve,24/06/2015,0.15,All Adults,24/06/2015
Disapprove,25/06/2015,0.68,All Adults,25/06/2015
Don't know,26/06/2015,0.17,All Adults,26/06/2015
Approve,27/06/2015,0.15,All Adults,27/06/2015
Disapprove,28/06/2015,0.68,All Adults,28/06/2015
Don't know,29/06/2015,0.17,All Adults,29/06/2015
Approve,30/06/2015,0.14,All Adults,30/06/2015
Disapprove,01/07/2015,0.71,All Adults,01/07/2015
Don't know,02/07/2015,0.15,All Adults,02/07/2015
Approve,03/07/2015,0.12,All Adults,03/07/2015
Disapprove,04/07/2015,0.72,All Adults,04/07/2015
Don't know,05/07/2015,0.16,All Adults,05/07/2015
Approve,06/07/2015,0.12,All Adults,06/07/2015
Disapprove,07/07/2015,0.74,All Adults,07/07/2015
Don't know,08/07/2015,0.14,All Adults,08/07/2015
Approve,09/07/2015,0.15,All Adults,09/07/2015
Disapprove,10/07/2015,0.71,All Adults,10/07/2015
Don't know,11/07/2015,0.14,All Adults,11/07/2015
Approve,12/07/2015,0.28,All Adults,12/07/2015
Disapprove,13/07/2015,0.32,All Adults,13/07/2015
Don't know,14/07/2015,0.4,All Adults,14/07/2015
Approve,15/07/2015,0.29,All Adults,15/07/2015
Disapprove,16/07/2015,0.31,All Adults,16/07/2015
Don't know,17/07/2015,0.4,All Adults,17/07/2015
Approve,18/07/2015,0.26,All Adults,18/07/2015
Disapprove,19/07/2015,0.47,All Adults,19/07/2015
Don't know,20/07/2015,0.27,All Adults,20/07/2015
Approve,21/07/2015,0.23,All Adults,21/07/2015
Disapprove,22/07/2015,0.51,All Adults,22/07/2015
Don't know,23/07/2015,0.26,All Adults,23/07/2015
Approve,24/07/2015,0.23,All Adults,24/07/2015
Disapprove,25/07/2015,0.5,All Adults,25/07/2015
Don't know,26/07/2015,0.27,All Adults,26/07/2015
Approve,27/07/2015,0.19,All Adults,27/07/2015
Disapprove,28/07/2015,0.55,All Adults,28/07/2015
Don't know,29/07/2015,0.26,All Adults,29/07/2015
Approve,30/07/2015,0.23,All Adults,30/07/2015
Disapprove,31/07/2015,0.53,All Adults,31/07/2015
Don't know,01/08/2015,0.24,All Adults,01/08/2015
Approve,02/08/2015,0.21,All Adults,02/08/2015
Disapprove,03/08/2015,0.56,All Adults,03/08/2015
Don't know,04/08/2015,0.23,All Adults,04/08/2015
Approve,05/08/2015,0.18,All Adults,05/08/2015
Disapprove,06/08/2015,0.57,All Adults,06/08/2015
Don't know,07/08/2015,0.25,All Adults,07/08/2015
Approve,08/08/2015,0.18,All Adults,08/08/2015
Disapprove,09/08/2015,0.59,All Adults,09/08/2015
Don't know,10/08/2015,0.23,All Adults,10/08/2015
Approve,11/08/2015,0.18,All Adults,11/08/2015
Disapprove,12/08/2015,0.59,All Adults,12/08/2015
Don't know,13/08/2015,0.23,All Adults,13/08/2015
Approve,14/08/2015,0.19,All Adults,14/08/2015
Disapprove,15/08/2015,0.59,All Adults,15/08/2015
Don't know,16/08/2015,0.22,All Adults,16/08/2015
Approve,17/08/2015,0.2,All Adults,17/08/2015
Disapprove,18/08/2015,0.59,All Adults,18/08/2015
Don't know,19/08/2015,0.22,All Adults,19/08/2015
Approve,20/08/2015,0.21,All Adults,20/08/2015
Disapprove,21/08/2015,0.55,All Adults,21/08/2015
Don't know,22/08/2015,0.24,All Adults,22/08/2015
Approve,23/08/2015,0.2,All Adults,23/08/2015
Disapprove,24/08/2015,0.58,All Adults,24/08/2015
Don't know,25/08/2015,0.22,All Adults,25/08/2015
Approve,26/08/2015,0.2,All Adults,26/08/2015
Disapprove,27/08/2015,0.56,All Adults,27/08/2015
Don't know,28/08/2015,0.25,All Adults,28/08/2015
Approve,29/08/2015,0.19,All Adults,29/08/2015
Disapprove,30/08/2015,0.58,All Adults,30/08/2015
Don't know,31/08/2015,0.23,All Adults,31/08/2015
Approve,01/09/2015,0.22,All Adults,01/09/2015
Disapprove,02/09/2015,0.58,All Adults,02/09/2015
Don't know,03/09/2015,0.2,All Adults,03/09/2015
Approve,09/02/2011,0.34,Male,09/02/2011
Disapprove,10/02/2011,0.56,Male,10/02/2011
Don't know,11/02/2011,0.1,Male,11/02/2011
Approve,12/02/2011,0.33,Male,12/02/2011
Disapprove,13/02/2011,0.56,Male,13/02/2011
Don't know,14/02/2011,0.11,Male,14/02/2011
Approve,15/02/2011,0.34,Male,15/02/2011
Disapprove,16/02/2011,0.53,Male,16/02/2011
Don't know,17/02/2011,0.13,Male,17/02/2011
Approve,18/02/2011,0.33,Male,18/02/2011
Disapprove,02/03/2011,0.55,Male,19/02/2011
Don't know,02/03/2011,0.12,Male,20/02/2011
Approve,09/03/2011,0.33,Male,21/02/2011
Disapprove,09/03/2011,0.56,Male,22/02/2011
Don't know,09/03/2011,0.11,Male,23/02/2011
Approve,16/03/2011,0.31,Male,24/02/2011
Disapprove,16/03/2011,0.57,Male,25/02/2011
Don't know,16/03/2011,0.12,Male,26/02/2011
Approve,23/03/2011,0.35,Male,27/02/2011
Disapprove,23/03/2011,0.54,Male,28/02/2011
Don't know,23/03/2011,0.11,Male,01/03/2011
Approve,30/03/2011,0.36,Male,02/03/2011
Disapprove,30/03/2011,0.53,Male,03/03/2011
Don't know,30/03/2011,0.11,Male,04/03/2011
Approve,06/04/2011,0.35,Male,05/03/2011
Disapprove,06/04/2011,0.55,Male,06/03/2011
Don't know,06/04/2011,0.1,Male,07/03/2011
Approve,13/04/2011,0.35,Male,08/03/2011
Disapprove,13/04/2011,0.54,Male,09/03/2011
Don't know,13/04/2011,0.11,Male,10/03/2011
Approve,20/04/2011,0.32,Male,11/03/2011
Disapprove,20/04/2011,0.55,Male,12/03/2011
Don't know,20/04/2011,0.12,Male,13/03/2011
Approve,27/04/2011,0.35,Male,14/03/2011
Disapprove,27/04/2011,0.55,Male,15/03/2011
Don't know,27/04/2011,0.1,Male,16/03/2011
Approve,03/05/2011,0.35,Male,17/03/2011
Disapprove,03/05/2011,0.54,Male,18/03/2011
Don't know,03/05/2011,0.1,Male,19/03/2011
Approve,11/05/2011,0.36,Male,20/03/2011
Disapprove,11/05/2011,0.55,Male,21/03/2011
Don't know,11/05/2011,0.1,Male,22/03/2011
Approve,18/05/2011,0.36,Male,23/03/2011
Disapprove,18/05/2011,0.54,Male,24/03/2011
Don't know,18/05/2011,0.1,Male,25/03/2011
Approve,25/05/2011,0.35,Male,26/03/2011
Disapprove,25/05/2011,0.54,Male,27/03/2011
Don't know,25/05/2011,0.11,Male,28/03/2011
Approve,01/06/2011,0.36,Male,29/03/2011
Disapprove,01/06/2011,0.52,Male,30/03/2011
Don't know,01/06/2011,0.11,Male,31/03/2011
Approve,08/06/2011,0.36,Male,01/04/2011
Disapprove,08/06/2011,0.53,Male,02/04/2011
Don't know,08/06/2011,0.11,Male,03/04/2011
Approve,15/06/2011,0.34,Male,04/04/2011
