Approval,Date,Value,Variable,date
Approve,19/05/2011,0.3,All Adults,19/05/2011
Disapprove,20/05/2011,0.55,All Adults,20/05/2011
Don't know,21/05/2011,0.15,All Adults,21/05/2011
Approve,22/05/2011,0.31,All Adults,22/05/2011
Disapprove,23/05/2011,0.55,All Adults,23/05/2011
Don't know,24/05/2011,0.14,All Adults,24/05/2011
Approve,25/05/2011,0.3,All Adults,25/05/2011
Disapprove,26/05/2011,0.55,All Adults,26/05/2011
Don't know,27/05/2011,0.15,All Adults,27/05/2011
Approve,28/05/2011,0.29,All Adults,28/05/2011
Disapprove,29/05/2011,0.56,All Adults,29/05/2011
Don't know,30/05/2011,0.16,All Adults,30/05/2011
Approve,31/05/2011,0.28,All Adults,31/05/2011
Disapprove,01/06/2011,0.57,All Adults,01/06/2011
Don't know,02/06/2011,0.15,All Adults,02/06/2011
Approve,03/06/2011,0.29,All Adults,03/06/2011
Disapprove,04/06/2011,0.56,All Adults,04/06/2011
Don't know,05/06/2011,0.15,All Adults,05/06/2011
Approve,06/06/2011,0.28,All Adults,06/06/2011
Disapprove,07/06/2011,0.56,All Adults,07/06/2011
Don't know,08/06/2011,0.16,All Adults,08/06/2011
Approve,09/06/2011,0.28,All Adults,09/06/2011
Disapprove,10/06/2011,0.57,All Adults,10/06/2011
Don't know,11/06/2011,0.15,All Adults,11/06/2011
Approve,12/06/2011,0.28,All Adults,12/06/2011
Disapprove,13/06/2011,0.57,All Adults,13/06/2011
Don't know,14/06/2011,0.15,All Adults,14/06/2011
Approve,15/06/2011,0.28,All Adults,15/06/2011
Disapprove,16/06/2011,0.56,All Adults,16/06/2011
Don't know,17/06/2011,0.15,All Adults,17/06/2011
Approve,18/06/2011,0.29,All Adults,18/06/2011
Disapprove,19/06/2011,0.57,All Adults,19/06/2011
Don't know,20/06/2011,0.14,All Adults,20/06/2011
Approve,21/06/2011,0.32,All Adults,21/06/2011
Disapprove,22/06/2011,0.53,All Adults,22/06/2011
Don't know,23/06/2011,0.16,All Adults,23/06/2011
Approve,24/06/2011,0.32,All Adults,24/06/2011
Disapprove,25/06/2011,0.53,All Adults,25/06/2011
Don't know,26/06/2011,0.15,All Adults,26/06/2011
Approve,27/06/2011,0.31,All Adults,27/06/2011
Disapprove,28/06/2011,0.54,All Adults,28/06/2011
Don't know,29/06/2011,0.15,All Adults,29/06/2011
Approve,30/06/2011,0.32,All Adults,30/06/2011
Disapprove,01/07/2011,0.51,All Adults,01/07/2011
Don't know,02/07/2011,0.16,All Adults,02/07/2011
Approve,03/07/2011,0.33,All Adults,03/07/2011
Disapprove,04/07/2011,0.52,All Adults,04/07/2011
Don't know,05/07/2011,0.15,All Adults,05/07/2011
Approve,06/07/2011,0.32,All Adults,06/07/2011
Disapprove,07/07/2011,0.53,All Adults,07/07/2011
Don't know,08/07/2011,0.16,All Adults,08/07/2011
Approve,09/07/2011,0.32,All Adults,09/07/2011
Disapprove,10/07/2011,0.53,All Adults,10/07/2011
Don't know,11/07/2011,0.15,All Adults,11/07/2011
Approve,12/07/2011,0.33,All Adults,12/07/2011
Disapprove,13/07/2011,0.52,All Adults,13/07/2011
Don't know,14/07/2011,0.15,All Adults,14/07/2011
Approve,15/07/2011,0.31,All Adults,15/07/2011
Disapprove,16/07/2011,0.54,All Adults,16/07/2011
Don't know,17/07/2011,0.15,All Adults,17/07/2011
Approve,18/07/2011,0.31,All Adults,18/07/2011
Disapprove,19/07/2011,0.53,All Adults,19/07/2011
Don't know,20/07/2011,0.16,All Adults,20/07/2011
Approve,21/07/2011,0.3,All Adults,21/07/2011
Disapprove,22/07/2011,0.55,All Adults,22/07/2011
Don't know,23/07/2011,0.15,All Adults,23/07/2011
Approve,24/07/2011,0.31,All Adults,24/07/2011
Disapprove,25/07/2011,0.53,All Adults,25/07/2011
Don't know,26/07/2011,0.16,All Adults,26/07/2011
Approve,27/07/2011,0.3,All Adults,27/07/2011
Disapprove,28/07/2011,0.56,All Adults,28/07/2011
Don't know,29/07/2011,0.14,All Adults,29/07/2011
Approve,30/07/2011,0.29,All Adults,30/07/2011
Disapprove,31/07/2011,0.55,All Adults,31/07/2011
Don't know,01/08/2011,0.16,All Adults,01/08/2011
Approve,02/08/2011,0.29,All Adults,02/08/2011
Disapprove,03/08/2011,0.56,All Adults,03/08/2011
Don't know,04/08/2011,0.15,All Adults,04/08/2011
Approve,05/08/2011,0.27,All Adults,05/08/2011
Disapprove,06/08/2011,0.59,All Adults,06/08/2011
Don't know,07/08/2011,0.15,All Adults,07/08/2011
Approve,08/08/2011,0.23,All Adults,08/08/2011
Disapprove,09/08/2011,0.63,All Adults,09/08/2011
Don't know,10/08/2011,0.14,All Adults,10/08/2011
Approve,11/08/2011,0.26,All Adults,11/08/2011
Disapprove,12/08/2011,0.6,All Adults,12/08/2011
Don't know,13/08/2011,0.14,All Adults,13/08/2011
Approve,14/08/2011,0.24,All Adults,14/08/2011
Disapprove,15/08/2011,0.61,All Adults,15/08/2011
Don't know,16/08/2011,0.15,All Adults,16/08/2011
Approve,17/08/2011,0.23,All Adults,17/08/2011
Disapprove,18/08/2011,0.63,All Adults,18/08/2011
Don't know,19/08/2011,0.14,All Adults,19/08/2011
Approve,20/08/2011,0.23,All Adults,20/08/2011
Disapprove,21/08/2011,0.62,All Adults,21/08/2011
Don't know,22/08/2011,0.14,All Adults,22/08/2011
Approve,23/08/2011,0.23,All Adults,23/08/2011
Disapprove,24/08/2011,0.63,All Adults,24/08/2011
Don't know,25/08/2011,0.14,All Adults,25/08/2011
Approve,26/08/2011,0.24,All Adults,26/08/2011
Disapprove,27/08/2011,0.62,All Adults,27/08/2011
Don't know,28/08/2011,0.14,All Adults,28/08/2011
Approve,29/08/2011,0.24,All Adults,29/08/2011
Disapprove,30/08/2011,0.61,All Adults,30/08/2011
Don't know,31/08/2011,0.15,All Adults,31/08/2011
Approve,01/09/2011,0.24,All Adults,01/09/2011
Disapprove,02/09/2011,0.62,All Adults,02/09/2011
Don't know,03/09/2011,0.14,All Adults,03/09/2011
Approve,04/09/2011,0.25,All Adults,04/09/2011
Disapprove,05/09/2011,0.61,All Adults,05/09/2011
Don't know,06/09/2011,0.14,All Adults,06/09/2011
Approve,07/09/2011,0.24,All Adults,07/09/2011
Disapprove,08/09/2011,0.61,All Adults,08/09/2011
Don't know,09/09/2011,0.15,All Adults,09/09/2011
Approve,10/09/2011,0.24,All Adults,10/09/2011
Disapprove,11/09/2011,0.61,All Adults,11/09/2011
Don't know,12/09/2011,0.15,All Adults,12/09/2011
Approve,13/09/2011,0.26,All Adults,13/09/2011
Disapprove,14/09/2011,0.6,All Adults,14/09/2011
Don't know,15/09/2011,0.14,All Adults,15/09/2011
Approve,16/09/2011,0.24,All Adults,16/09/2011
Disapprove,17/09/2011,0.61,All Adults,17/09/2011
Don't know,18/09/2011,0.15,All Adults,18/09/2011
Approve,19/09/2011,0.25,All Adults,19/09/2011
Disapprove,20/09/2011,0.6,All Adults,20/09/2011
Don't know,21/09/2011,0.15,All Adults,21/09/2011
Approve,22/09/2011,0.24,All Adults,22/09/2011
Disapprove,23/09/2011,0.61,All Adults,23/09/2011
Don't know,24/09/2011,0.15,All Adults,24/09/2011
Approve,25/09/2011,0.24,All Adults,25/09/2011
Disapprove,26/09/2011,0.61,All Adults,26/09/2011
