Approval,Date,Value,Variable
Approve,14/12/2011,0.32,All Adults
Disapprove,14/12/2011,0.53,All Adults
Don't know,14/12/2011,0.16,All Adults
Approve,21/12/2011,0.32,All Adults
Disapprove,21/12/2011,0.53,All Adults
Don't know,21/12/2011,0.15,All Adults
Approve,22/12/2011,0.31,All Adults
Disapprove,22/12/2011,0.54,All Adults
Don't know,22/12/2011,0.15,All Adults
Approve,04/01/2012,0.32,All Adults
Disapprove,04/01/2012,0.51,All Adults
Don't know,04/01/2012,0.16,All Adults
Approve,11/01/2012,0.33,All Adults
Disapprove,11/01/2012,0.52,All Adults
Don't know,11/01/2012,0.15,All Adults
Approve,18/01/2012,0.32,All Adults
Disapprove,18/01/2012,0.53,All Adults
Don't know,18/01/2012,0.16,All Adults
Approve,24/01/2012,0.32,All Adults
Disapprove,24/01/2012,0.53,All Adults
Don't know,24/01/2012,0.15,All Adults
Approve,01/02/2012,0.33,All Adults
Disapprove,01/02/2012,0.52,All Adults
Don't know,01/02/2012,0.15,All Adults
Approve,08/02/2012,0.31,All Adults
Disapprove,08/02/2012,0.54,All Adults
Don't know,08/02/2012,0.15,All Adults
Approve,15/02/2012,0.31,All Adults
Disapprove,15/02/2012,0.53,All Adults
Don't know,15/02/2012,0.16,All Adults
Approve,22/02/2012,0.3,All Adults
Disapprove,22/02/2012,0.55,All Adults
Don't know,22/02/2012,0.15,All Adults
Approve,29/02/2012,0.31,All Adults
Disapprove,29/02/2012,0.53,All Adults
Don't know,29/02/2012,0.16,All Adults
Approve,07/03/2012,0.3,All Adults
Disapprove,07/03/2012,0.56,All Adults
Don't know,07/03/2012,0.14,All Adults
Approve,14/03/2012,0.29,All Adults
Disapprove,14/03/2012,0.55,All Adults
Don't know,14/03/2012,0.16,All Adults
Approve,21/03/2012,0.29,All Adults
Disapprove,21/03/2012,0.56,All Adults
Don't know,21/03/2012,0.15,All Adults
Approve,28/03/2012,0.27,All Adults
Disapprove,28/03/2012,0.59,All Adults
Don't know,28/03/2012,0.15,All Adults
Approve,04/04/2012,0.23,All Adults
Disapprove,04/04/2012,0.63,All Adults
Don't know,04/04/2012,0.14,All Adults
Approve,11/04/2012,0.26,All Adults
Disapprove,11/04/2012,0.6,All Adults
Don't know,11/04/2012,0.14,All Adults
Approve,18/04/2012,0.24,All Adults
Disapprove,18/04/2012,0.61,All Adults
Don't know,18/04/2012,0.15,All Adults
Approve,25/04/2012,0.23,All Adults
Disapprove,25/04/2012,0.63,All Adults
Don't know,25/04/2012,0.14,All Adults
Approve,02/05/2012,0.23,All Adults
Disapprove,02/05/2012,0.62,All Adults
Don't know,02/05/2012,0.14,All Adults
Approve,09/05/2012,0.23,All Adults
Disapprove,09/05/2012,0.63,All Adults
Don't know,09/05/2012,0.14,All Adults
Approve,16/05/2012,0.24,All Adults
Disapprove,16/05/2012,0.62,All Adults
Don't know,16/05/2012,0.14,All Adults
Approve,23/05/2012,0.24,All Adults
Disapprove,23/05/2012,0.61,All Adults
Don't know,23/05/2012,0.15,All Adults
Approve,30/05/2012,0.24,All Adults
Disapprove,30/05/2012,0.62,All Adults
Don't know,30/05/2012,0.14,All Adults
Approve,06/06/2012,0.25,All Adults
Disapprove,06/06/2012,0.61,All Adults
Don't know,06/06/2012,0.14,All Adults
Approve,13/06/2012,0.24,All Adults
Disapprove,13/06/2012,0.61,All Adults
Don't know,13/06/2012,0.15,All Adults
Approve,20/06/2012,0.24,All Adults
Disapprove,20/06/2012,0.61,All Adults
Don't know,20/06/2012,0.15,All Adults
Approve,27/06/2012,0.26,All Adults
Disapprove,27/06/2012,0.6,All Adults
Don't know,27/06/2012,0.14,All Adults
Approve,04/07/2012,0.24,All Adults
Disapprove,04/07/2012,0.61,All Adults
Don't know,04/07/2012,0.15,All Adults
Approve,11/07/2012,0.25,All Adults
Disapprove,11/07/2012,0.6,All Adults
Don't know,11/07/2012,0.15,All Adults
Approve,18/07/2012,0.24,All Adults
Disapprove,18/07/2012,0.61,All Adults
Don't know,18/07/2012,0.15,All Adults
Approve,25/07/2012,0.24,All Adults
Disapprove,25/07/2012,0.61,All Adults
Don't know,25/07/2012,0.15,All Adults
Approve,01/08/2012,0.25,All Adults
Disapprove,01/08/2012,0.6,All Adults
Don't know,01/08/2012,0.15,All Adults
Approve,08/08/2012,0.24,All Adults
Disapprove,08/08/2012,0.61,All Adults
Don't know,08/08/2012,0.15,All Adults
Approve,15/08/2012,0.25,All Adults
Disapprove,15/08/2012,0.6,All Adults
Don't know,15/08/2012,0.15,All Adults
Approve,21/08/2012,0.24,All Adults
Disapprove,21/08/2012,0.6,All Adults
Don't know,21/08/2012,0.16,All Adults
Approve,29/08/2012,0.23,All Adults
Disapprove,29/08/2012,0.61,All Adults
Don't know,29/08/2012,0.15,All Adults
Approve,05/09/2012,0.23,All Adults
Disapprove,05/09/2012,0.62,All Adults
Don't know,05/09/2012,0.15,All Adults
Approve,12/09/2012,0.23,All Adults
Disapprove,12/09/2012,0.62,All Adults
Don't know,12/09/2012,0.15,All Adults
Approve,19/09/2012,0.25,All Adults
Disapprove,19/09/2012,0.6,All Adults
Don't know,19/09/2012,0.15,All Adults
Approve,26/09/2012,0.24,All Adults
Disapprove,26/09/2012,0.61,All Adults
Don't know,26/09/2012,0.15,All Adults
Approve,03/10/2012,0.24,All Adults
Disapprove,03/10/2012,0.6,All Adults
Don't know,03/10/2012,0.16,All Adults
Approve,10/10/2012,0.25,All Adults
Disapprove,10/10/2012,0.6,All Adults
Don't know,10/10/2012,0.15,All Adults
Approve,17/10/2012,0.26,All Adults
Disapprove,17/10/2012,0.6,All Adults
Don't know,17/10/2012,0.15,All Adults
Approve,24/10/2012,0.25,All Adults
Disapprove,24/10/2012,0.6,All Adults
Don't know,24/10/2012,0.15,All Adults
Approve,31/10/2012,0.27,All Adults
Disapprove,31/10/2012,0.58,All Adults
Don't know,31/10/2012,0.15,All Adults
Approve,06/11/2012,0.27,All Adults
Disapprove,06/11/2012,0.58,All Adults
Don't know,06/11/2012,0.15,All Adults
Approve,14/11/2012,0.27,All Adults
Disapprove,14/11/2012,0.58,All Adults
Don't know,14/11/2012,0.15,All Adults
Approve,21/11/2012,0.26,All Adults
Disapprove,21/11/2012,0.59,All Adults
Don't know,21/11/2012,0.15,All Adults
Approve,28/11/2012,0.26,All Adults
Disapprove,28/11/2012,0.59,All Adults
Don't know,28/11/2012,0.15,All Adults
Approve,05/12/2012,0.26,All Adults
Disapprove,05/12/2012,0.59,All Adults
Don't know,05/12/2012,0.15,All Adults
Approve,12/12/2012,0.26,All Adults
Disapprove,12/12/2012,0.59,All Adults
Don't know,12/12/2012,0.15,All Adults
Approve,19/12/2012,0.26,All Adults
Disapprove,19/12/2012,0.59,All Adults
Don't know,19/12/2012,0.15,All Adults
Approve,21/12/2012,0.26,All Adults
Disapprove,21/12/2012,0.58,All Adults
Don't know,21/12/2012,0.16,All Adults
Approve,02/01/2013,0.25,All Adults
Disapprove,02/01/2013,0.6,All Adults
Don't know,02/01/2013,0.15,All Adults
Approve,09/01/2013,0.26,All Adults
Disapprove,09/01/2013,0.57,All Adults
Don't know,09/01/2013,0.17,All Adults
Approve,15/01/2013,0.27,All Adults
Disapprove,15/01/2013,0.59,All Adults
Don't know,15/01/2013,0.14,All Adults
Approve,23/01/2013,0.27,All Adults
Disapprove,23/01/2013,0.57,All Adults
Don't know,23/01/2013,0.16,All Adults
Approve,30/01/2013,0.27,All Adults
Disapprove,30/01/2013,0.57,All Adults
Don't know,30/01/2013,0.15,All Adults
Approve,06/02/2013,0.26,All Adults
Disapprove,06/02/2013,0.59,All Adults
Don't know,06/02/2013,0.15,All Adults
Approve,12/02/2013,0.26,All Adults
Disapprove,12/02/2013,0.59,All Adults
Don't know,12/02/2013,0.15,All Adults
Approve,20/02/2013,0.25,All Adults
Disapprove,20/02/2013,0.59,All Adults
Don't know,20/02/2013,0.15,All Adults
Approve,27/02/2013,0.25,All Adults
Disapprove,27/02/2013,0.6,All Adults
Don't know,27/02/2013,0.15,All Adults
Approve,06/03/2013,0.24,All Adults
Disapprove,06/03/2013,0.6,All Adults
Don't know,06/03/2013,0.16,All Adults
Approve,12/03/2013,0.24,All Adults
Disapprove,12/03/2013,0.62,All Adults
Don't know,12/03/2013,0.14,All Adults
Approve,20/03/2013,0.24,All Adults
Disapprove,20/03/2013,0.6,All Adults
Don't know,20/03/2013,0.16,All Adults
Approve,27/03/2013,0.24,All Adults
Disapprove,27/03/2013,0.6,All Adults
Don't know,27/03/2013,0.15,All Adults
Approve,03/04/2013,0.25,All Adults
Disapprove,03/04/2013,0.59,All Adults
Don't know,03/04/2013,0.16,All Adults
Approve,09/04/2013,0.26,All Adults
Disapprove,09/04/2013,0.6,All Adults
Don't know,09/04/2013,0.14,All Adults
Approve,16/04/2013,0.27,All Adults
Disapprove,16/04/2013,0.58,All Adults
Don't know,16/04/2013,0.15,All Adults
Approve,24/04/2013,0.27,All Adults
Disapprove,24/04/2013,0.57,All Adults
Don't know,24/04/2013,0.15,All Adults
Approve,30/04/2013,0.27,All Adults
Disapprove,30/04/2013,0.58,All Adults
Don't know,30/04/2013,0.15,All Adults
Approve,08/05/2013,0.25,All Adults
Disapprove,08/05/2013,0.6,All Adults
Don't know,08/05/2013,0.15,All Adults
Approve,15/05/2013,0.25,All Adults
Disapprove,15/05/2013,0.59,All Adults
Don't know,15/05/2013,0.16,All Adults
Approve,22/05/2013,0.24,All Adults
Disapprove,22/05/2013,0.61,All Adults
Don't know,22/05/2013,0.15,All Adults
Approve,29/05/2013,0.25,All Adults
