Approval,Date,Value,Variable
Disapprove,18/05/2015,0.44,All Adults
Don't know,18/05/2015,0.15,All Adults
Approve,26/05/2015,0.41,All Adults
Disapprove,26/05/2015,0.45,All Adults
Don't know,26/05/2015,0.14,All Adults
Approve,02/06/2015,0.4,All Adults
Disapprove,02/06/2015,0.45,All Adults
Don't know,02/06/2015,0.16,All Adults
Approve,10/06/2015,0.4,All Adults
Disapprove,10/06/2015,0.44,All Adults
Don't know,10/06/2015,0.16,All Adults
Approve,16/06/2015,0.4,All Adults
Disapprove,16/06/2015,0.43,All Adults
Don't know,16/06/2015,0.17,All Adults
Approve,24/06/2015,0.4,All Adults
Disapprove,24/06/2015,0.44,All Adults
Don't know,24/06/2015,0.16,All Adults
Approve,01/07/2015,0.39,All Adults
Disapprove,01/07/2015,0.46,All Adults
Don't know,01/07/2015,0.15,All Adults
Approve,07/07/2015,0.37,All Adults
Disapprove,07/07/2015,0.47,All Adults
Don't know,07/07/2015,0.15,All Adults
Approve,13/07/2015,0.4,All Adults
Disapprove,13/07/2015,0.44,All Adults
Don't know,13/07/2015,0.16,All Adults
Approve,24/08/2015,0.37,All Adults
Disapprove,24/08/2015,0.49,All Adults
Don't know,24/08/2015,0.15,All Adults
Approve,18/09/2015,0.37,All Adults
Disapprove,18/09/2015,0.5,All Adults
Don't know,18/09/2015,0.13,All Adults
Approve,26/10/2015,0.35,All Adults
Disapprove,26/10/2015,0.5,All Adults
Don't know,26/10/2015,0.15,All Adults
Approve,23/11/2015,0.32,All Adults
Disapprove,23/11/2015,0.53,All Adults
Don't know,23/11/2015,0.15,All Adults
Approve,23/12/2015,0.32,All Adults
Disapprove,23/12/2015,0.5,All Adults
Don't know,23/12/2015,0.18,All Adults
Approve,25/01/2016,0.33,All Adults
Disapprove,25/01/2016,0.51,All Adults
Don't know,25/01/2016,0.16,All Adults
Approve,23/02/2016,0.29,All Adults
Disapprove,23/02/2016,0.52,All Adults
Don't know,23/02/2016,0.19,All Adults
Approve,21/03/2016,0.22,All Adults
Disapprove,21/03/2016,0.58,All Adults
Don't know,21/03/2016,0.2,All Adults
Approve,25/04/2016,0.22,All Adults
Disapprove,25/04/2016,0.55,All Adults
Don't know,25/04/2016,0.23,All Adults
Approve,02/05/2016,0.24,All Adults
Disapprove,02/05/2016,0.58,All Adults
Don't know,02/05/2016,0.18,All Adults
Approve,20/05/2016,0.24,All Adults
Disapprove,20/05/2016,0.56,All Adults
Don't know,20/05/2016,0.2,All Adults
Approve,05/06/2016,0.18,All Adults
Disapprove,05/06/2016,0.61,All Adults
Don't know,05/06/2016,0.21,All Adults
Approve,04/07/2016,0.22,All Adults
Disapprove,04/07/2016,0.57,All Adults
Don't know,04/07/2016,0.21,All Adults
Approve,22/07/2016,0.27,All Adults
Disapprove,22/07/2016,0.48,All Adults
Don't know,22/07/2016,0.25,All Adults
Approve,01/09/2016,0.26,All Adults
Disapprove,01/09/2016,0.46,All Adults
Don't know,01/09/2016,0.27,All Adults
Approve,19/09/2016,0.25,All Adults
Disapprove,19/09/2016,0.49,All Adults
Don't know,19/09/2016,0.25,All Adults
Approve,24/10/2016,0.29,All Adults
Disapprove,24/10/2016,0.41,All Adults
Don't know,24/10/2016,0.3,All Adults
Approve,22/11/2016,0.28,All Adults
Disapprove,22/11/2016,0.45,All Adults
Don't know,22/11/2016,0.27,All Adults
Approve,15/12/2016,0.26,All Adults
Disapprove,15/12/2016,0.49,All Adults
Don't know,15/12/2016,0.25,All Adults
Approve,24/01/2017,0.3,All Adults
Disapprove,24/01/2017,0.39,All Adults
Don't know,24/01/2017,0.31,All Adults
Approve,20/02/2017,0.3,All Adults
Disapprove,20/02/2017,0.43,All Adults
Don't know,20/02/2017,0.28,All Adults
Approve,29/03/2017,0.34,All Adults
Disapprove,29/03/2017,0.41,All Adults
Don't know,29/03/2017,0.25,All Adults
Approve,21/04/2017,0.35,All Adults
Disapprove,21/04/2017,0.41,All Adults
Don't know,21/04/2017,0.23,All Adults
Approve,28/04/2017,0.35,All Adults
Disapprove,28/04/2017,0.43,All Adults
Don't know,28/04/2017,0.22,All Adults
Approve,22/05/2017,0.32,All Adults
Disapprove,22/05/2017,0.47,All Adults
Don't know,22/05/2017,0.21,All Adults
Approve,26/06/2017,0.24,All Adults
Disapprove,26/06/2017,0.53,All Adults
Don't know,26/06/2017,0.24,All Adults
Approve,24/07/2017,0.23,All Adults
Disapprove,24/07/2017,0.53,All Adults
Don't know,24/07/2017,0.24,All Adults
Approve,24/08/2017,0.23,All Adults
Disapprove,24/08/2017,0.51,All Adults
Don't know,24/08/2017,0.26,All Adults
Approve,27/09/2017,0.21,All Adults
Disapprove,27/09/2017,0.53,All Adults
Don't know,27/09/2017,0.26,All Adults
Approve,19/10/2017,0.21,All Adults
Disapprove,19/10/2017,0.52,All Adults
Don't know,19/10/2017,0.27,All Adults
Approve,17/11/2017,0.2,All Adults
Disapprove,17/11/2017,0.55,All Adults
Don't know,17/11/2017,0.25,All Adults
Approve,15/12/2017,0.2,All Adults
Disapprove,15/12/2017,0.49,All Adults
Don't know,15/12/2017,0.31,All Adults
Approve,28/02/2018,0.24,All Adults
Disapprove,28/02/2018,0.52,All Adults
Don't know,28/02/2018,0.24,All Adults
Approve,24/03/2018,0.25,All Adults
Disapprove,24/03/2018,0.48,All Adults
Don't know,24/03/2018,0.26,All Adults
Approve,19/04/2018,0.29,All Adults
Disapprove,19/04/2018,0.45,All Adults
Don't know,19/04/2018,0.26,All Adults
Approve,26/04/2018,0.26,All Adults
Disapprove,26/04/2018,0.48,All Adults
Don't know,26/04/2018,0.26,All Adults
Approve,11/06/2018,0.23,All Adults
Disapprove,11/06/2018,0.49,All Adults
Don't know,11/06/2018,0.28,All Adults
Approve,04/07/2018,0.25,All Adults
Disapprove,04/07/2018,0.38,All Adults
Don't know,04/07/2018,0.37,All Adults
Approve,24/07/2018,0.18,All Adults
Disapprove,24/07/2018,0.56,All Adults
Don't know,24/07/2018,0.26,All Adults
Approve,22/08/2018,0.2,All Adults
Disapprove,22/08/2018,0.52,All Adults
Don't know,22/08/2018,0.28,All Adults
Approve,21/09/2018,0.19,All Adults
Disapprove,21/09/2018,0.57,All Adults
Don't know,21/09/2018,0.24,All Adults
Approve,23/10/2018,0.21,All Adults
Disapprove,23/10/2018,0.51,All Adults
Don't know,23/10/2018,0.28,All Adults
Approve,22/11/2018,0.19,All Adults
Disapprove,22/11/2018,0.55,All Adults
Don't know,22/11/2018,0.26,All Adults
Approve,17/12/2018,0.2,All Adults
Disapprove,17/12/2018,0.57,All Adults
Don't know,17/12/2018,0.23,All Adults
Approve,23/01/2019,0.13,All Adults
Disapprove,23/01/2019,0.6,All Adults
Don't know,23/01/2019,0.26,All Adults
Approve,27/03/2019,0.11,All Adults
Disapprove,27/03/2019,0.67,All Adults
Don't know,27/03/2019,0.22,All Adults
Approve,01/05/2019,0.11,All Adults
Disapprove,01/05/2019,0.66,All Adults
Don't know,01/05/2019,0.24,All Adults
Approve,13/05/2019,0.09,All Adults
Disapprove,13/05/2019,0.72,All Adults
Don't know,13/05/2019,0.2,All Adults
Approve,24/06/2019,0.1,All Adults
Disapprove,24/06/2019,0.71,All Adults
Don't know,24/06/2019,0.18,All Adults
Approve,01/07/2019,0.11,All Adults
Disapprove,01/07/2019,0.7,All Adults
Don't know,01/07/2019,0.19,All Adults
Approve,08/07/2019,0.1,All Adults
Disapprove,08/07/2019,0.69,All Adults
Don't know,08/07/2019,0.22,All Adults
Approve,14/07/2019,0.14,All Adults
Disapprove,14/07/2019,0.69,All Adults
Don't know,14/07/2019,0.17,All Adults
Approve,22/07/2019,0.1,All Adults
Disapprove,22/07/2019,0.69,All Adults
Don't know,22/07/2019,0.21,All Adults
Approve,29/07/2019,0.14,All Adults
Disapprove,29/07/2019,0.63,All Adults
Don't know,29/07/2019,0.22,All Adults
Approve,05/08/2019,0.15,All Adults
Disapprove,05/08/2019,0.62,All Adults
Don't know,05/08/2019,0.23,All Adults
Approve,11/08/2019,0.2,All Adults
Disapprove,11/08/2019,0.62,All Adults
Don't know,11/08/2019,0.18,All Adults
Approve,19/08/2019,0.16,All Adults
Disapprove,19/08/2019,0.62,All Adults
Don't know,19/08/2019,0.21,All Adults
Approve,26/08/2019,0.18,All Adults
Disapprove,26/08/2019,0.59,All Adults
Don't know,26/08/2019,0.23,All Adults
Approve,02/09/2019,0.22,All Adults
Disapprove,02/09/2019,0.57,All Adults
Don't know,02/09/2019,0.21,All Adults
Approve,09/09/2019,0.16,All Adults
Disapprove,09/09/2019,0.66,All Adults
Don't know,09/09/2019,0.18,All Adults
Approve,16/09/2019,0.18,All Adults
Disapprove,16/09/2019,0.66,All Adults
Don't know,16/09/2019,0.16,All Adults
Approve,23/09/2019,0.17,All Adults
Disapprove,23/09/2019,0.64,All Adults
Don't know,23/09/2019,0.18,All Adults
Approve,30/09/2019,0.17,All Adults
Disapprove,30/09/2019,0.64,All Adults
Don't know,30/09/2019,0.19,All Adults
Approve,06/10/2019,0.2,All Adults
Disapprove,06/10/2019,0.61,All Adults
Don't know,06/10/2019,0.19,All Adults
Approve,14/10/2019,0.18,All Adults
Disapprove,14/10/2019,0.6,All Adults
Don't know,14/10/2019,0.23,All Adults
Approve,21/10/2019,0.22,All Adults
Disapprove,21/10/2019,0.56,All Adults
Don't know,21/10/2019,0.22,All Adults
Approve,28/10/2019,0.2,All Adults
Disapprove,28/10/2019,0.58,All Adults
Don't know,28/10/2019,0.22,All Adults
Approve,04/11/2019,0.19,All Adults
Disapprove,04/11/2019,0.62,All Adults
Don't know,04/11/2019,0.19,All Adults
Approve,11/11/2019,0.22,All Adults
Disapprove,11/11/2019,0.59,All Adults
Don't know,11/11/2019,0.19,All Adults
Approve,18/11/2019,0.21,All Adults
Disapprove,18/11/2019,0.59,All Adults
Don't know,18/11/2019,0.19,All Adults
Approve,25/11/2019,0.22,All Adults
Disapprove,25/11/2019,0.58,All Adults
Don't know,25/11/2019,0.19,All Adults
Approve,01/12/2019,0.22,All Adults
Disapprove,01/12/2019,0.59,All Adults
Don't know,01/12/2019,0.19,All Adults
Approve,16/12/2019,0.27,All Adults
Disapprove,16/12/2019,0.53,All Adults
Don't know,16/12/2019,0.2,All Adults
Approve,23/12/2019,0.34,All Adults
Disapprove,23/12/2019,0.46,All Adults
Don't know,23/12/2019,0.21,All Adults
Approve,30/12/2019,0.32,All Adults
Disapprove,30/12/2019,0.44,All Adults
Don't know,30/12/2019,0.24,All Adults
Approve,06/01/2020,0.3,All Adults
Disapprove,06/01/2020,0.45,All Adults
Don't know,06/01/2020,0.25,All Adults
Approve,13/01/2020,0.33,All Adults
Disapprove,13/01/2020,0.42,All Adults
Don't know,13/01/2020,0.24,All Adults
Approve,20/01/2020,0.32,All Adults
Disapprove,20/01/2020,0.45,All Adults
Don't know,20/01/2020,0.23,All Adults
Approve,27/01/2020,0.33,All Adults
Disapprove,27/01/2020,0.41,All Adults
Don't know,27/01/2020,0.25,All Adults
Approve,03/02/2020,0.35,All Adults
Disapprove,03/02/2020,0.42,All Adults
Don't know,03/02/2020,0.23,All Adults
Approve,09/02/2020,0.36,All Adults
Disapprove,09/02/2020,0.42,All Adults
Don't know,09/02/2020,0.23,All Adults
Approve,17/02/2020,0.34,All Adults
Disapprove,17/02/2020,0.39,All Adults
Don't know,17/02/2020,0.27,All Adults
Approve,24/02/2020,0.34,All Adults
Disapprove,24/02/2020,0.41,All Adults
Don't know,24/02/2020,0.25,All Adults
Approve,02/03/2020,0.33,All Adults
Disapprove,02/03/2020,0.41,All Adults
Don't know,02/03/2020,0.26,All Adults
Approve,09/03/2020,0.36,All Adults
Disapprove,09/03/2020,0.37,All Adults
Don't know,09/03/2020,0.27,All Adults
Approve,16/03/2020,0.39,All Adults
Disapprove,16/03/2020,0.35,All Adults
Don't know,16/03/2020,0.26,All Adults
Approve,23/03/2020,0.52,All Adults
Disapprove,23/03/2020,0.27,All Adults
Don't know,23/03/2020,0.21,All Adults
Approve,30/03/2020,0.52,All Adults
Disapprove,30/03/2020,0.26,All Adults
Don't know,30/03/2020,0.21,All Adults
Approve,06/04/2020,0.5,All Adults
Disapprove,06/04/2020,0.29,All Adults
Don't know,06/04/2020,0.2,All Adults
Approve,13/04/2020,0.5,All Adults
Disapprove,13/04/2020,0.28,All Adults
Don't know,13/04/2020,0.22,All Adults
Approve,20/04/2020,0.47,All Adults
Disapprove,20/04/2020,0.32,All Adults
Don't know,20/04/2020,0.21,All Adults
Approve,27/04/2020,0.47,All Adults
Disapprove,27/04/2020,0.33,All Adults
Don't know,27/04/2020,0.2,All Adults
Approve,03/05/2020,0.49,All Adults
Disapprove,03/05/2020,0.3,All Adults
Don't know,03/05/2020,0.2,All Adults
Approve,10/05/2020,0.44,All Adults
Disapprove,10/05/2020,0.37,All Adults
Don't know,10/05/2020,0.19,All Adults
Approve,18/05/2020,0.39,All Adults
Disapprove,18/05/2020,0.42,All Adults
Don't know,18/05/2020,0.19,All Adults
Approve,25/05/2020,0.37,All Adults
Disapprove,25/05/2020,0.42,All Adults
Don't know,25/05/2020,0.21,All Adults
Approve,02/06/2020,0.35,All Adults
Disapprove,02/06/2020,0.44,All Adults
Don't know,02/06/2020,0.21,All Adults
Approve,08/06/2020,0.32,All Adults
Disapprove,08/06/2020,0.49,All Adults
Don't know,08/06/2020,0.2,All Adults
Approve,15/06/2020,0.34,All Adults
Disapprove,15/06/2020,0.46,All Adults
Don't know,15/06/2020,0.2,All Adults
Approve,22/06/2020,0.32,All Adults
Disapprove,22/06/2020,0.48,All Adults
Don't know,22/06/2020,0.2,All Adults
Approve,29/06/2020,0.35,All Adults
Disapprove,29/06/2020,0.45,All Adults
Don't know,29/06/2020,0.21,All Adults
Approve,06/07/2020,0.34,All Adults
Disapprove,06/07/2020,0.46,All Adults
Don't know,06/07/2020,0.19,All Adults
Approve,13/07/2020,0.36,All Adults
Disapprove,13/07/2020,0.44,All Adults
Don't know,13/07/2020,0.2,All Adults
Approve,20/07/2020,0.32,All Adults
Disapprove,20/07/2020,0.45,All Adults
Don't know,20/07/2020,0.23,All Adults
Approve,27/07/2020,0.35,All Adults
Disapprove,27/07/2020,0.45,All Adults
Don't know,27/07/2020,0.19,All Adults
Approve,03/08/2020,0.34,All Adults
Disapprove,03/08/2020,0.47,All Adults
Don't know,03/08/2020,0.19,All Adults
Approve,10/08/2020,0.3,All Adults
Disapprove,10/08/2020,0.48,All Adults
Don't know,10/08/2020,0.22,All Adults
Approve,17/08/2020,0.29,All Adults
Disapprove,17/08/2020,0.49,All Adults
Don't know,17/08/2020,0.22,All Adults
Approve,24/08/2020,0.3,All Adults
Disapprove,24/08/2020,0.49,All Adults
Don't know,24/08/2020,0.22,All Adults
Approve,31/08/2020,0.31,All Adults
Disapprove,31/08/2020,0.47,All Adults
Don't know,31/08/2020,0.22,All Adults
Approve,07/09/2020,0.3,All Adults
Disapprove,07/09/2020,0.5,All Adults
Don't know,07/09/2020,0.2,All Adults
Approve,14/09/2020,0.3,All Adults
Disapprove,14/09/2020,0.51,All Adults
Don't know,14/09/2020,0.2,All Adults
Approve,21/09/2020,0.27,All Adults
Disapprove,21/09/2020,0.52,All Adults
Don't know,21/09/2020,0.21,All Adults
Approve,28/09/2020,0.29,All Adults
Disapprove,28/09/2020,0.51,All Adults
Don't know,28/09/2020,0.2,All Adults
Approve,05/10/2020,0.27,All Adults
Disapprove,05/10/2020,0.55,All Adults
Don't know,05/10/2020,0.18,All Adults
Approve,12/10/2020,0.28,All Adults
Disapprove,12/10/2020,0.53,All Adults
Don't know,12/10/2020,0.19,All Adults
Approve,18/10/2020,0.27,All Adults
Disapprove,18/10/2020,0.54,All Adults
Don't know,18/10/2020,0.19,All Adults
Approve,26/10/2020,0.27,All Adults
Disapprove,26/10/2020,0.56,All Adults
Don't know,26/10/2020,0.17,All Adults
Approve,02/11/2020,0.26,All Adults
Disapprove,02/11/2020,0.56,All Adults
Don't know,02/11/2020,0.18,All Adults
Approve,09/11/2020,0.28,All Adults
Disapprove,09/11/2020,0.53,All Adults
Don't know,09/11/2020,0.19,All Adults
Approve,15/11/2020,0.28,All Adults
Disapprove,15/11/2020,0.49,All Adults
Don't know,15/11/2020,0.23,All Adults
Approve,23/11/2020,0.27,All Adults
Disapprove,23/11/2020,0.52,All Adults
Don't know,23/11/2020,0.21,All Adults
Approve,30/11/2020,0.28,All Adults
Disapprove,30/11/2020,0.52,All Adults
Don't know,30/11/2020,0.2,All Adults
Approve,07/12/2020,0.27,All Adults
Disapprove,07/12/2020,0.53,All Adults
Don't know,07/12/2020,0.2,All Adults
Approve,14/12/2020,0.28,All Adults
Disapprove,14/12/2020,0.5,All Adults
Don't know,14/12/2020,0.22,All Adults
Approve,20/12/2020,0.27,All Adults
Disapprove,20/12/2020,0.53,All Adults
Don't know,20/12/2020,0.21,All Adults
Approve,28/12/2020,0.31,All Adults
Disapprove,28/12/2020,0.48,All Adults
Don't know,28/12/2020,0.21,All Adults
Approve,04/01/2021,0.32,All Adults
Disapprove,04/01/2021,0.49,All Adults
Don't know,04/01/2021,0.19,All Adults
Approve,11/01/2021,0.31,All Adults
Disapprove,11/01/2021,0.5,All Adults
Don't know,11/01/2021,0.19,All Adults
Approve,18/01/2021,0.29,All Adults
Disapprove,18/01/2021,0.52,All Adults
Don't know,18/01/2021,0.19,All Adults
Approve,25/01/2021,0.3,All Adults
Disapprove,25/01/2021,0.5,All Adults
Don't know,25/01/2021,0.2,All Adults
Approve,01/02/2021,0.32,All Adults
Disapprove,01/02/2021,0.49,All Adults
Don't know,01/02/2021,0.19,All Adults
Approve,08/02/2021,0.33,All Adults
Disapprove,08/02/2021,0.48,All Adults
Don't know,08/02/2021,0.19,All Adults
Approve,15/02/2021,0.3,All Adults
Disapprove,15/02/2021,0.49,All Adults
Don't know,15/02/2021,0.21,All Adults
Approve,22/02/2021,0.35,All Adults
Disapprove,22/02/2021,0.47,All Adults
Don't know,22/02/2021,0.18,All Adults
Approve,01/03/2021,0.36,All Adults
Disapprove,01/03/2021,0.43,All Adults
Don't know,01/03/2021,0.21,All Adults
Approve,08/03/2021,0.35,All Adults
Disapprove,08/03/2021,0.44,All Adults
Don't know,08/03/2021,0.22,All Adults
Approve,15/03/2021,0.37,All Adults
Disapprove,15/03/2021,0.44,All Adults
Don't know,15/03/2021,0.19,All Adults
Approve,22/03/2021,0.37,All Adults
Disapprove,22/03/2021,0.42,All Adults
Don't know,22/03/2021,0.21,All Adults
Approve,29/03/2021,0.35,All Adults
Disapprove,29/03/2021,0.44,All Adults
Don't know,29/03/2021,0.21,All Adults
Approve,05/04/2021,0.36,All Adults
Disapprove,05/04/2021,0.42,All Adults
Don't know,05/04/2021,0.22,All Adults
Approve,12/04/2021,0.38,All Adults
Disapprove,12/04/2021,0.4,All Adults
Don't know,12/04/2021,0.22,All Adults
Approve,19/04/2021,0.37,All Adults
Disapprove,19/04/2021,0.43,All Adults
Don't know,19/04/2021,0.2,All Adults
Approve,26/04/2021,0.36,All Adults
Disapprove,26/04/2021,0.43,All Adults
Don't know,26/04/2021,0.22,All Adults
Approve,03/05/2021,0.38,All Adults
Disapprove,03/05/2021,0.42,All Adults
Don't know,03/05/2021,0.2,All Adults
Approve,10/05/2021,0.4,All Adults
Disapprove,10/05/2021,0.39,All Adults
Don't know,10/05/2021,0.21,All Adults
Approve,17/05/2021,0.39,All Adults
Disapprove,17/05/2021,0.4,All Adults
Don't know,17/05/2021,0.21,All Adults
Approve,24/05/2021,0.38,All Adults
Disapprove,24/05/2021,0.44,All Adults
Don't know,24/05/2021,0.17,All Adults
Approve,31/05/2021,0.36,All Adults
Disapprove,31/05/2021,0.45,All Adults
Don't know,31/05/2021,0.19,All Adults
Approve,07/06/2021,0.37,All Adults
Disapprove,07/06/2021,0.43,All Adults
Don't know,07/06/2021,0.2,All Adults
Approve,14/06/2021,0.36,All Adults
Disapprove,14/06/2021,0.46,All Adults
Don't know,14/06/2021,0.18,All Adults
Approve,21/06/2021,0.33,All Adults
Disapprove,21/06/2021,0.48,All Adults
Don't know,21/06/2021,0.19,All Adults
Approve,28/06/2021,0.32,All Adults
Disapprove,28/06/2021,0.47,All Adults
Don't know,28/06/2021,0.21,All Adults
Approve,05/07/2021,0.32,All Adults
Disapprove,05/07/2021,0.49,All Adults
Don't know,05/07/2021,0.19,All Adults
Approve,12/07/2021,0.33,All Adults
Disapprove,12/07/2021,0.48,All Adults
Don't know,12/07/2021,0.2,All Adults
Approve,19/07/2021,0.31,All Adults
Disapprove,19/07/2021,0.49,All Adults
Don't know,19/07/2021,0.2,All Adults
Approve,26/07/2021,0.29,All Adults
Disapprove,26/07/2021,0.51,All Adults
Don't know,26/07/2021,0.2,All Adults
Approve,02/08/2021,0.31,All Adults
Disapprove,02/08/2021,0.49,All Adults
Don't know,02/08/2021,0.21,All Adults
Approve,09/08/2021,0.31,All Adults
Disapprove,09/08/2021,0.47,All Adults
Don't know,09/08/2021,0.22,All Adults
Approve,16/08/2021,0.29,All Adults
Disapprove,16/08/2021,0.47,All Adults
Don't know,16/08/2021,0.24,All Adults
Approve,23/08/2021,0.27,All Adults
Disapprove,23/08/2021,0.5,All Adults
Don't know,23/08/2021,0.23,All Adults
Approve,29/08/2021,0.27,All Adults
Disapprove,29/08/2021,0.5,All Adults
Don't know,29/08/2021,0.23,All Adults
Approve,06/09/2021,0.27,All Adults
Disapprove,06/09/2021,0.49,All Adults
Don't know,06/09/2021,0.24,All Adults
Approve,12/09/2021,0.26,All Adults
Disapprove,12/09/2021,0.53,All Adults
Don't know,12/09/2021,0.21,All Adults
Approve,19/09/2021,0.29,All Adults
Disapprove,19/09/2021,0.49,All Adults
Don't know,19/09/2021,0.22,All Adults
Approve,26/09/2021,0.26,All Adults
Disapprove,26/09/2021,0.54,All Adults
Don't know,26/09/2021,0.19,All Adults
Approve,04/10/2021,0.25,All Adults
Disapprove,04/10/2021,0.53,All Adults
Don't know,04/10/2021,0.21,All Adults
Approve,11/10/2021,0.28,All Adults
Disapprove,11/10/2021,0.52,All Adults
Don't know,11/10/2021,0.2,All Adults
Approve,18/10/2021,0.26,All Adults
Disapprove,18/10/2021,0.52,All Adults
Don't know,18/10/2021,0.21,All Adults
Approve,25/10/2021,0.25,All Adults
Disapprove,25/10/2021,0.54,All Adults
Don't know,25/10/2021,0.21,All Adults
Approve,01/11/2021,0.26,All Adults
Disapprove,01/11/2021,0.51,All Adults
Don't know,01/11/2021,0.22,All Adults
Approve,07/11/2021,0.23,All Adults
Disapprove,07/11/2021,0.55,All Adults
Don't know,07/11/2021,0.23,All Adults
Approve,15/11/2021,0.23,All Adults
Disapprove,15/11/2021,0.55,All Adults
Don't know,15/11/2021,0.22,All Adults
Approve,22/11/2021,0.22,All Adults
Disapprove,22/11/2021,0.56,All Adults
Don't know,22/11/2021,0.22,All Adults
Approve,29/11/2021,0.25,All Adults
Disapprove,29/11/2021,0.54,All Adults
Don't know,29/11/2021,0.21,All Adults
Approve,05/12/2021,0.26,All Adults
Disapprove,05/12/2021,0.53,All Adults
Don't know,05/12/2021,0.21,All Adults
Approve,13/12/2021,0.2,All Adults
Disapprove,13/12/2021,0.63,All Adults
Don't know,13/12/2021,0.17,All Adults
Approve,20/12/2021,0.22,All Adults
Disapprove,20/12/2021,0.6,All Adults
Don't know,20/12/2021,0.18,All Adults
Approve,27/12/2021,0.24,All Adults
Disapprove,27/12/2021,0.57,All Adults
Don't know,27/12/2021,0.19,All Adults
Approve,02/01/2022,0.24,All Adults
Disapprove,02/01/2022,0.56,All Adults
Don't know,02/01/2022,0.2,All Adults
Approve,10/01/2022,0.23,All Adults
Disapprove,10/01/2022,0.56,All Adults
Don't know,10/01/2022,0.2,All Adults
Approve,17/01/2022,0.2,All Adults
Disapprove,17/01/2022,0.63,All Adults
Don't know,17/01/2022,0.17,All Adults
Approve,24/01/2022,0.23,All Adults
Disapprove,24/01/2022,0.59,All Adults
Don't know,24/01/2022,0.17,All Adults
Approve,31/01/2022,0.23,All Adults
Disapprove,31/01/2022,0.6,All Adults
Don't know,31/01/2022,0.17,All Adults
Approve,06/02/2022,0.18,All Adults
Disapprove,06/02/2022,0.63,All Adults
Don't know,06/02/2022,0.18,All Adults
Approve,13/02/2022,0.21,All Adults
Disapprove,13/02/2022,0.6,All Adults
Don't know,13/02/2022,0.19,All Adults
Approve,21/02/2022,0.21,All Adults
Disapprove,21/02/2022,0.6,All Adults
Don't know,21/02/2022,0.19,All Adults
Approve,28/02/2022,0.25,All Adults
Disapprove,28/02/2022,0.55,All Adults
Don't know,28/02/2022,0.2,All Adults
Approve,07/03/2022,0.24,All Adults
Disapprove,07/03/2022,0.55,All Adults
Don't know,07/03/2022,0.21,All Adults
Approve,14/03/2022,0.23,All Adults
Disapprove,14/03/2022,0.55,All Adults
Don't know,14/03/2022,0.22,All Adults
Approve,20/03/2022,0.25,All Adults
Disapprove,20/03/2022,0.53,All Adults
Don't know,20/03/2022,0.22,All Adults
Approve,28/03/2022,0.25,All Adults
Disapprove,28/03/2022,0.53,All Adults
Don't know,28/03/2022,0.22,All Adults
Approve,04/04/2022,0.21,All Adults
Disapprove,04/04/2022,0.59,All Adults
Don't know,04/04/2022,0.2,All Adults
Approve,11/04/2022,0.23,All Adults
Disapprove,11/04/2022,0.57,All Adults
Don't know,11/04/2022,0.2,All Adults
Approve,18/04/2022,0.22,All Adults
Disapprove,18/04/2022,0.6,All Adults
Don't know,18/04/2022,0.18,All Adults
Approve,24/04/2022,0.23,All Adults
Disapprove,24/04/2022,0.59,All Adults
Don't know,24/04/2022,0.18,All Adults
Approve,02/05/2022,0.21,All Adults
Disapprove,02/05/2022,0.62,All Adults
Don't know,02/05/2022,0.17,All Adults
Approve,08/05/2022,0.22,All Adults
Disapprove,08/05/2022,0.61,All Adults
Don't know,08/05/2022,0.17,All Adults
Approve,16/05/2022,0.21,All Adults
Disapprove,16/05/2022,0.61,All Adults
Don't know,16/05/2022,0.18,All Adults
Approve,22/05/2022,0.22,All Adults
Disapprove,22/05/2022,0.58,All Adults
Don't know,22/05/2022,0.2,All Adults
Approve,29/05/2022,0.22,All Adults
Disapprove,29/05/2022,0.6,All Adults
Don't know,29/05/2022,0.18,All Adults
Approve,06/06/2022,0.21,All Adults
Disapprove,06/06/2022,0.6,All Adults
Don't know,06/06/2022,0.19,All Adults
Approve,13/06/2022,0.22,All Adults
Disapprove,13/06/2022,0.6,All Adults
Don't know,13/06/2022,0.18,All Adults
Approve,19/06/2022,0.21,All Adults
Disapprove,19/06/2022,0.59,All Adults
Don't know,19/06/2022,0.2,All Adults
Approve,27/06/2022,0.22,All Adults
Disapprove,27/06/2022,0.6,All Adults
Don't know,27/06/2022,0.18,All Adults
Approve,03/07/2022,0.19,All Adults
Disapprove,03/07/2022,0.62,All Adults
Don't know,03/07/2022,0.18,All Adults
Approve,11/07/2022,0.2,All Adults
Disapprove,11/07/2022,0.64,All Adults
Don't know,11/07/2022,0.16,All Adults
Approve,17/07/2022,0.2,All Adults
Disapprove,17/07/2022,0.62,All Adults
Don't know,17/07/2022,0.18,All Adults
Approve,25/07/2022,0.21,All Adults
Disapprove,25/07/2022,0.61,All Adults
Don't know,25/07/2022,0.18,All Adults
Approve,31/07/2022,0.21,All Adults
Disapprove,31/07/2022,0.6,All Adults
Don't know,31/07/2022,0.19,All Adults
Approve,08/08/2022,0.18,All Adults
Disapprove,08/08/2022,0.62,All Adults
Don't know,08/08/2022,0.2,All Adults
Approve,15/08/2022,0.18,All Adults
Disapprove,15/08/2022,0.64,All Adults
Don't know,15/08/2022,0.17,All Adults
Approve,22/08/2022,0.18,All Adults
Disapprove,22/08/2022,0.65,All Adults
Don't know,22/08/2022,0.18,All Adults
Approve,29/08/2022,0.17,All Adults
