States,GDP
Germany,4121.16
Nordrhein-Westfalen,839.084
Bayern,768.469
Baden-WÃ¼rttemberg,615.071
Niedersachsen,363.109
Hessen,351.139
Berlin,193.219
Rheinland-Pfalz,174.249
Sachsen,155.982
Hamburg,150.575
Schleswig-Holstein,118.68
Brandenburg,97.477
Sachsen-Anhalt,78.38
Thüringen,75.909
Mecklenburg-Vorpommern,59.217
Saarland,41.348
Bremen,39.252
